Word,POS_Tag
government,NN
has,VBZ
appointed,VBN
Govinda,NNP
Bahadur,NNP
Karki,NNP
chief,NN
secretary,NN
Following,VBG
Cabinet,NNP
meeting,NN
Wednesday,NNP
government,NN
spokesperson,NN
Sasmit,NNP
Pokharel,NNP
announced,VBD
Karki,NNP
was,VBD
serving,VBG
secretary,NN
Office,NNP
Prime,NNP
Minister,NNP
Council,NNP
Ministers,NNP
has,VBZ
been,VBN
promoted,VBN
position,NN
Nepal,NNP
s,NNP
service,NN
appointment,NN
comes,VBZ
chief,NN
secretary,NN
Suman,NNP
Raj,NNP
Aryal,NNP
is,VBZ
set,VBN
retire,VB
July,NNP
reaching,VBG
retirement,NN
age,NN
Karki,NNP
oversaw,VBD
governance,NN
affairs,NNS
Office,NNP
Prime,NNP
Minister,NNP
Council,NNP
Ministers,NNP
